eBird.English.Name.2021,eBird.Scientific.Name.2021,eBird.Code,Order,Family,IUCN.Category,WPA.Schedule,CITES.Appendix,CMS.Appendix,SOIB.Concern.Status,SOIB.Long.Term.Status,,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,India.Checklist.Common.Name,India.Checklist.Scientific.Name
Malabar Trogon,Harpactes fasciatus,maltro1,Trogoniformes,Trogonidae (Trogons),Least Concern,Schedule-IV,NA,NA,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Tropical Forest,Resident,NA,NA,Malabar Trogon,Harpactes fasciatus
Malabar Whistling-Thrush,Myophonus horsfieldii,mawthr1,Passeriformes,Muscicapidae (Old World Flycatchers),Least Concern,Schedule-IV,NA,Appendix II,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Mainland India,None,Resident,NA,NA,Malabar Whistling Thrush,Myophonus horsfieldii
Malabar Woodshrike,Tephrodornis sylvicola,malwoo1,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)",Least Concern,Schedule-IV,NA,Appendix II,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Tropical Forest,Resident,NA,NA,Malabar Woodshrike,Tephrodornis sylvicola
Common Woodshrike,Tephrodornis pondicerianus,comwoo1,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)",Least Concern,Schedule-IV,NA,Appendix II,High,Strong Decline,Strong Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident,NA,NA,Common Woodshrike,Tephrodornis pondicerianus
Malabar Imperial-Pigeon,Ducula cuprea,moipig1,Columbiformes,Columbidae (Pigeons and Doves),Least Concern,Schedule-IV,NA,NA,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Tropical Forest,Resident,NA,NA,Mountain Imperial Pigeon,Ducula badia
Nilgiri Flowerpecker,Dicaeum concolor,plaflo1,Passeriformes,Dicaeidae (Flowerpeckers),Least Concern,Schedule-IV,,,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,None,Resident,NA,NA,Nilgiri Flowerpecker,Dicaeum concolor
Nilgiri Flycatcher,Eumyias albicaudatus,nilfly2,Passeriformes,Muscicapidae (Old World Flycatchers),Least Concern,Schedule-IV,NA,Appendix II,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Wooded Habitat,Resident,NA,NA,Nilgiri Flycatcher,Eumyias albicaudatus
Nilgiri Laughingthrush,Montecincla cachinnans,bkclau2,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),Endangered,Schedule-IV,NA,Appendix II,High,Uncertain,Uncertain,Very Restricted,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Wooded Habitat,Resident,NA,NA,Nilgiri Laughingthrush,Montecincla cachinnans
Nilgiri Thrush,Zoothera neilgherriensis,scathr4,Passeriformes,Turdidae (Thrushes and Allies),Not Evaluated,Schedule-IV,NA,Appendix II,High,Data Deficient,Strong Decline,Restricted,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Western Ghats,Tropical Forest,Resident,NA,NA,Nilgiri Thrush,Zoothera neilgherriensis
Nilgiri Wood-Pigeon,Columba elphinstonii,niwpig1,Columbiformes,Columbidae (Pigeons and Doves),Vulnerable,Schedule-IV,NA,NA,Moderate,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Tropical Forest,Resident,NA,NA,Nilgiri Wood Pigeon,Columba elphinstonii
Orange Minivet,Pericrocotus flammeus,scamin3,Passeriformes,Campephagidae (Cuckooshrikes),Least Concern,Schedule-IV,NA,NA,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Tropical Forest,Resident,NA,NA,Orange Minivet,Pericrocotus flammeus
Orange-breasted Green-Pigeon,Treron bicinctus,orbpig1,Columbiformes,Columbidae (Pigeons and Doves),Least Concern,Schedule-IV,NA,NA,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Wooded Habitat,Resident,NA,NA,Orange-breasted Green Pigeon,Treron bicinctus
Orange-headed Thrush,Geokichla citrina,orhthr1,Passeriformes,Turdidae (Thrushes and Allies),Least Concern,Schedule-IV,NA,Appendix II,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,No,No,None,Wooded Habitat,Resident & Local Migrant,NA,NA,Orange-headed Thrush,Geokichla citrina
Oriental Magpie-Robin,Copsychus saularis,magrob,Passeriformes,Muscicapidae (Old World Flycatchers),Least Concern,Schedule-IV,NA,Appendix II,Low,Stable,Stable,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,NA,NA,Oriental Magpie Robin,Copsychus saularis
Oriental Turtle-Dove,Streptopelia orientalis,ortdov,Columbiformes,Columbidae (Pigeons and Doves),Least Concern,Schedule-IV,NA,NA,Low,Stable,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Resident & Local Migrant,NA,NA,Oriental Turtle Dove,Streptopelia orientalis
Painted Spurfowl,Galloperdix lunulata,paispu1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-IV,NA,NA,Moderate,Uncertain,Moderate Decline,Moderate,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Wooded Habitat,Resident,NA,NA,Painted Spurfowl,Galloperdix lunulata
Palani Laughingthrush,Montecincla fairbanki,kerlau2,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),Near Threatened,Schedule-IV,NA,Appendix II,Moderate,Uncertain,Uncertain,Restricted,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Wooded Habitat,Resident,NA,NA,Palani Laughingthrush,Montecincla fairbanki
Pale-billed Flowerpecker,Dicaeum erythrorhynchos,pabflo1,Passeriformes,Dicaeidae (Flowerpeckers),Least Concern,Schedule-IV,NA,NA,Low,Stable,Strong Increase,Large,Diurnal,Diurnal,Fruit & Nect,No,Yes,No,Indian Subcontinent,None,Resident,NA,NA,Pale-billed Flowerpecker,Dicaeum erythrorhynchos
Pied Bushchat,Saxicola caprata,piebus1,Passeriformes,Muscicapidae (Old World Flycatchers),Least Concern,Schedule-IV,NA,Appendix II,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident & Local Migrant,NA,NA,Pied Bushchat,Saxicola caprata
Pied Cuckoo,Clamator jacobinus,piecuc1,Cuculiformes,Cuculidae (Cuckoos),Least Concern,Schedule-IV,NA,NA,Low,Stable,Uncertain,Large,24 hour,Diurnal,Invertebrate,No,No,No,None,None,Resident & Summer Migrant,NA,NA,Pied Cuckoo,Clamator jacobinus
Plum-headed Parakeet,Psittacula cyanocephala,plhpar1,Psittaciformes,Psittaculidae (Old World Parrots),Least Concern,Schedule-IV,Appendix II,NA,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Fruit & Nect,No,Yes,No,Indian Subcontinent,Forest,Resident,NA,NA,Plum-headed Parakeet,Psittacula cyanocephala
Puff-throated Babbler,Pellorneum ruficeps,putbab1,Passeriformes,Pellorneidae (Ground Babblers and Allies),Least Concern,Schedule-IV,NA,Appendix II,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident,NA,NA,Puff-throated Babbler,Pellorneum ruficeps
Purple Sunbird,Cinnyris asiaticus,pursun4,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Least Concern,Schedule-IV,NA,NA,Low,Stable,Stable,Very Large,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,None,Resident,NA,NA,Purple Sunbird,Cinnyris asiaticus
Purple-rumped Sunbird,Leptocoma zeylonica,pursun3,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Least Concern,Schedule-IV,NA,NA,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Fruit & Nect,No,Yes,No,Indian Subcontinent,None,Resident,NA,NA,Purple-rumped Sunbird,Leptocoma zeylonica
Red Spurfowl,Galloperdix spadicea,redspu1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-IV,NA,NA,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Forest,Resident,NA,NA,Red Spurfowl,Galloperdix spadicea
Red-vented Bulbul,Pycnonotus cafer,revbul,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,NA,NA,Low,Stable,Stable,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,NA,NA,Red-vented Bulbul,Pycnonotus cafer
Red-whiskered Bulbul,Pycnonotus jocosus,rewbul,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,NA,NA,Low,Uncertain,Uncertain,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,NA,NA,Red-whiskered Bulbul,Pycnonotus jocosus
Rock Pigeon,Columba livia,rocpig,Columbiformes,Columbidae (Pigeons and Doves),Least Concern,Schedule-IV,NA,NA,Low,Strong Increase,Strong Increase,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Resident,NA,NA,Rock Pigeon,Columba livia
Rose-ringed Parakeet,Psittacula krameri,rorpar,Psittaciformes,Psittaculidae (Old World Parrots),Least Concern,Schedule-IV,NA,NA,Low,Stable,Stable,Very Large,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,None,Resident,NA,NA,Rose-ringed Parakeet,Psittacula krameri
Rufous Babbler,Argya subrufa,rufbab3,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),Least Concern,Schedule-IV,NA,Appendix II,Moderate,Uncertain,Strong Decline,Moderate,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,None,Resident,NA,NA,Rufous Babbler,Argya subrufa
Rufous Treepie,Dendrocitta vagabunda,ruftre2,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Least Concern,Schedule-IV,NA,NA,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,NA,NA,Rufous Treepie,Dendrocitta vagabunda
Rufous Woodpecker,Micropternus brachyurus,rufwoo2,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,NA,NA,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident,NA,NA,Rufous Woodpecker,Micropternus brachyurus
Scaly-breasted Munia,Lonchura punctulata,nutman,Passeriformes,Estrildidae (Waxbills and Allies),Least Concern,Schedule-IV,NA,NA,Low,Uncertain,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Resident,NA,NA,Scaly-breasted Munia,Lonchura punctulata
Sirkeer Malkoha,Taccocua leschenaultii,sirmal1,Cuculiformes,Cuculidae (Cuckoos),Least Concern,Schedule-IV,NA,NA,Moderate,Strong Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Scrub,Resident,NA,NA,Sirkeer Malkoha,Taccocua leschenaultii
Small Minivet,Pericrocotus cinnamomeus,smamin1,Passeriformes,Campephagidae (Cuckooshrikes),Least Concern,Schedule-IV,NA,NA,High,Strong Decline,Strong Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident,NA,NA,Small Minivet,Pericrocotus cinnamomeus
Southern Hill Myna,Gracula indica,sohmyn1,Passeriformes,Sturnidae (Starlings),Least Concern,Schedule-I,NA,NA,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,NA,No,Yes,No,Western Ghats & Sri Lanka,Wooded Habitat,Resident,NA,NA,Southern Hill Myna,Gracula indica
Speckled Piculet,Picumnus innominatus,spepic1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,NA,NA,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident,NA,NA,Speckled Piculet,Picumnus innominatus
Spotted Dove,Spilopelia chinensis,spodov,Columbiformes,Columbidae (Pigeons and Doves),Least Concern,Schedule-IV,NA,NA,Low,Stable,Stable,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Resident,NA,NA,Spotted Dove,Streptopelia chinensis
Square-tailed Bulbul,Hypsipetes ganeesa,sqtbul1,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,NA,NA,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,Yes,No,Western Ghats & Sri Lanka,Wooded Habitat,Resident,NA,NA,Square-tailed Bulbul,Hypsipetes ganeesa
Streak-throated Woodpecker,Picus xanthopygaeus,sttwoo1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,NA,NA,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident,NA,NA,Streak-throated Woodpecker,Picus xanthopygaeus
Tawny-bellied Babbler,Dumetia hyperythra,tabbab1,Passeriformes,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",Least Concern,Schedule-IV,NA,Appendix II,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,None,Resident,NA,NA,Tawny-bellied Babbler,Dumetia hyperythra
Thick-billed Flowerpecker,Dicaeum agile,thbflo1,Passeriformes,Dicaeidae (Flowerpeckers),Least Concern,Schedule-IV,NA,NA,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,None,Resident,NA,NA,Thick-billed Flowerpecker,Dicaeum agile
Tickell's Blue Flycatcher,Cyornis tickelliae,tibfly3,Passeriformes,Muscicapidae (Old World Flycatchers),Least Concern,Schedule-IV,NA,Appendix II,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Wooded Habitat,Resident,NA,NA,Tickell's Blue Flycatcher,Cyornis tickelliae
Tricolored Munia,Lonchura malacca,trimun,Passeriformes,Estrildidae (Waxbills and Allies),Least Concern,Schedule-IV,NA,NA,Moderate,Uncertain,Strong Decline,Large,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Grassland,Resident,NA,NA,Tricoloured Munia,Lonchura malacca
Velvet-fronted Nuthatch,Sitta frontalis,vefnut1,Passeriformes,Sittidae (Nuthatches),Least Concern,Schedule-IV,NA,NA,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident,NA,NA,Velvet-fronted Nuthatch,Sitta frontalis
Vernal Hanging-Parrot,Loriculus vernalis,vehpar1,Psittaciformes,Psittaculidae (Old World Parrots),Least Concern,Schedule-IV,Appendix II,NA,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Wooded Habitat,Resident,NA,NA,Vernal Hanging Parrot,Loriculus vernalis
Wayanad Laughingthrush,Pterorhinus delesserti,wynlau1,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),Least Concern,Schedule-IV,NA,Appendix II,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Tropical Forest,Resident,NA,NA,Wayanad Laughingthrush,Pterorhinus delesserti
White-bellied Blue Flycatcher,Cyornis pallidipes,wbbfly1,Passeriformes,Muscicapidae (Old World Flycatchers),Least Concern,Schedule-IV,NA,Appendix II,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Tropical Forest,Resident,NA,NA,White-bellied Blue Flycatcher,Cyornis pallidipes
White-bellied Drongo,Dicrurus caerulescens,whbdro1,Passeriformes,Dicruridae (Drongos),Least Concern,Schedule-IV,NA,NA,Moderate,Stable,Strong Decline,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Wooded Habitat,Resident,NA,NA,White-bellied Drongo,Dicrurus caerulescens
White-bellied Sholakili,Sholicola albiventris,whbsho3,Passeriformes,Muscicapidae (Old World Flycatchers),Vulnerable,Schedule-IV,NA,Appendix II,High,Uncertain,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Wooded Habitat,Resident,NA,NA,White-bellied Sholakili,Sholicola albiventris
White-bellied Treepie,Dendrocitta leucogastra,whbtre1,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Least Concern,Schedule-IV,NA,NA,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Western Ghats,Tropical Forest,Resident,NA,NA,White-bellied Treepie,Dendrocitta leucogastra
White-bellied Woodpecker,Dryocopus javensis,whbwoo2,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,NA,NA,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Tropical Forest,Resident,NA,NA,White-bellied Woodpecker,Dryocopus javensis
White-breasted Waterhen,Amaurornis phoenicurus,whbwat1,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Least Concern,Schedule-IV,NA,NA,Low,Stable,Uncertain,Very Large,24 hour,Diurnal,Omnivore,No,No,No,None,None,Resident,NA,NA,White-breasted Waterhen,Amaurornis phoenicurus
White-browed Bulbul,Pycnonotus luteolus,whbbul2,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,NA,NA,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Fruit & Nect,No,Yes,No,Indian Subcontinent,Wooded Habitat,Resident,NA,NA,White-browed Bulbul,Pycnonotus luteolus
White-browed Fantail,Rhipidura aureola,whbfan2,Passeriformes,Rhipiduridae (Fantails),Least Concern,Schedule-IV,NA,Appendix II,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident & Altitudinal Migrant,NA,NA,White-browed Fantail,Rhipidura aureola
White-browed Wagtail,Motacilla maderaspatensis,whbwag1,Passeriformes,Motacillidae (Wagtails and Pipits),Least Concern,Schedule-IV,NA,Appendix II,Moderate,Moderate Decline,Strong Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,NA,NA,White-browed Wagtail,Motacilla maderaspatensis
White-cheeked Barbet,Psilopogon viridis,whcbar1,Piciformes,Megalaimidae (Asian Barbets),Least Concern,Schedule-IV,NA,NA,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Mainland India,None,Resident,NA,NA,White-cheeked Barbet,Psilopogon viridis
White-rumped Munia,Lonchura striata,whrmun,Passeriformes,Estrildidae (Waxbills and Allies),Least Concern,Schedule-IV,NA,NA,Moderate,Stable,Strong Decline,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Resident,NA,NA,White-rumped Munia,Lonchura striata
White-rumped Shama,Copsychus malabaricus,whrsha,Passeriformes,Muscicapidae (Old World Flycatchers),Least Concern,Schedule-IV,NA,Appendix II,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident,NA,NA,White-rumped Shama,Copsychus malabaricus
White-throated Kingfisher,Halcyon smyrnensis,whtkin2,Coraciiformes,Alcedinidae (Kingfishers),Least Concern,Schedule-IV,NA,NA,Low,Stable,Moderate Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Resident,NA,NA,White-throated Kingfisher,Halcyon smyrnensis
Asian Woolly-necked Stork,Ciconia episcopus,wonsto1,Ciconiiformes,Ciconiidae (Storks),Near Threatened,Schedule-IV,NA,NA,Low,Stable,Moderate Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Open Habitat,Resident,NA,NA,Woolly-necked Stork,Ciconia episcopus
Yellow-billed Babbler,Argya affinis,yebbab1,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),Least Concern,Schedule-IV,NA,Appendix II,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,None,Resident,NA,NA,Yellow-billed Babbler,Argya affinis
Yellow-browed Bulbul,Iole indica,yebbul3,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,NA,NA,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,Yes,No,Western Ghats & Sri Lanka,Wooded Habitat,Resident,NA,NA,Yellow-browed Bulbul,Acritillas indica
Yellow-eyed Babbler,Chrysomma sinense,yeebab1,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Least Concern,Schedule-IV,NA,Appendix II,Low,Stable,Moderate Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland and Scrub,Resident,NA,NA,Yellow-eyed Babbler,Chrysomma sinense
Yellow-footed Green-Pigeon,Treron phoenicopterus,yefpig1,Columbiformes,Columbidae (Pigeons and Doves),Least Concern,Schedule-IV,NA,NA,Low,Moderate Increase,Uncertain,Very Large,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,None,Resident,NA,NA,Yellow-footed Green Pigeon,Treron phoenicopterus
Yellow-throated Bulbul,Pycnonotus xantholaemus,yetbul1,Passeriformes,Pycnonotidae (Bulbuls),Vulnerable,Schedule-IV,NA,NA,Moderate,Data Deficient,Moderate Decline,Moderate,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Southern Deccan Plateau,Scrub,Resident,NA,NA,Yellow-throated Bulbul,Pycnonotus xantholaemus
Yellow-throated Sparrow,Gymnoris xanthocollis,chspet1,Passeriformes,Passeridae (Old World Sparrows),Least Concern,Schedule-IV,NA,NA,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,Wooded Habitat,Resident,NA,NA,Yellow-throated Sparrow,Gymnoris xanthocollis
Yellow-wattled Lapwing,Vanellus malabaricus,yewlap2,Charadriiformes,Charadriidae (Plovers and Lapwings),Least Concern,Schedule-IV,NA,Appendix II,Moderate,Moderate Decline,Strong Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Grassland,Resident,NA,NA,Yellow-wattled Lapwing,Vanellus malabaricus
Zitting Cisticola,Cisticola juncidis,zitcis1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,NA,Appendix II,Low,Stable,Moderate Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Open Habitat,Resident,NA,NA,Zitting Cisticola,Cisticola juncidis
Nilgiri Sholakili,Sholicola major,whbsho1,Passeriformes,Muscicapidae (Old World Flycatchers),Endangered,Schedule-IV,,Appendix II,High,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Wooded Habitat,Resident,,,Nilgiri Sholakili,Sholicola major
Gray-headed Canary-Flycatcher,Culicicapa ceylonensis,gyhcaf1,Passeriformes,Stenostiridae (Fairy Flycatchers),Least Concern,Schedule-IV,,,Moderate,Moderate Decline,Moderate Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Local Migrant,,,Grey-headed Canary-flycatcher,Culicicapa ceylonensis
